# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/2026","4027.7","4005.6","4034.2","3986.5","20.20K","0.22%"
"07/17/2026","4018.8","4087.7","4105.1","4086.6","22.20K","-0.40%"
"07/16/2026","4034.8","4068.9","4071.9","4029.4","16.78K","-0.11%"
"07/15/2026","4039.2","4059.8","4068.6","4033.9","17.36K","0.30%"
"07/14/2026","4027","4005.9","4029.7","3990.4","21.70K","-0.86%"
"07/13/2026","4062","4106.6","4111.6","4060.7","25.07K","-1.26%"
"07/10/2026","4113.7","4135.4","4144.6","4081.7","91.80K","0.26%"
"07/09/2026","4103","4087.6","4109.3","4063.4","26.49K","-0.75%"
"07/08/2026","4134.2","4106.5","4144.6","4104","24.18K","-0.05%"
"07/07/2026","4136.2","4176.4","4179.5","4127.7","20.17K","-0.85%"
"07/06/2026","4171.6","4187.5","4215.5","4133.8","76.51K","-0.37%"
"07/03/2026","4187.3","4138","4208.3","4133.8","54.67K","2.52%"
"07/02/2026","4084.3","4049.2","4088.1","4042.8","23.12K","2.58%"
"07/01/2026","3981.5","4025","4032","3975.9","27.57K","-0.81%"
"06/30/2026","4014.1","4032.5","4036.7","3955.4","40.40K","-1.34%"
"06/29/2026","4068.5","4101.1","4102.9","4061.1","21.07K","-0.68%"
"06/26/2026","4096.3","4044.4","4111.5","3998.1","114.77K","2.51%"
"06/25/2026","3996","4019","4033.9","3976.3","33.88K","-2.59%"
"06/24/2026","4102.4","4130","4132.4","4067","34.65K","-0.94%"
"06/23/2026","4141.2","4210.8","4216","4129.2","30.58K","-1.75%"
"06/22/2026","4215","4163.9","4238.1","4138.7","103.81K","1.01%"
"06/19/2026","4172.9","4231.2","4231.4","4138.7","73.11K","-3.49%"
"06/18/2026","4323.6","4275.1","4350.2","4273.3","34.90K","-0.55%"
"06/17/2026","4347.6","4352.6","4369.8","4337.1","17.66K","-0.27%"
"06/16/2026","4359.3","4331.3","4361.7","4326.7","24.82K","0.60%"
"06/15/2026","4333.1","4289.4","4356.8","4283.4","37.31K","2.22%"
"06/12/2026","4238.8","4234.9","4267.8","4191.1","132.80K","2.95%"
"06/11/2026","4117.2","4094.4","4138.5","4046.2","62.96K","-2.77%"
"06/10/2026","4234.3","4276.1","4281.1","4194.2","43.32K","-3.03%"
"06/09/2026","4366.8","4354.7","4375.7","4336","21.67K","0.77%"
"06/08/2026","4333.6","4354","4377.5","4323.6","30.30K","-0.73%"
"06/05/2026","4365.3","4503","4508.7","4336.6","173.44K","-2.89%"
"06/04/2026","4495.3","4462.6","4511.2","4450.1","25.77K","-0.08%"
"06/03/2026","4498.9","4520","4525.1","4483.7","31.94K","-1.43%"
"06/02/2026","4564.1","4515.8","4568.8","4492.3","31.17K","0.33%"
"06/01/2026","4549.3","4575.2","4577.3","4537.6","18.71K","-0.95%"
"05/29/2026","4593","4527.6","4627.1","4519.5","124.29K","4.07%"
"05/28/2026","4413.3","4488","4502","4395.6","36.92K","-1.52%"
"05/27/2026","4481.4","4507.4","4528.1","4478.5","9.61K","-1.09%"
"05/26/2026","4530.6","4532","4583.3","4523.4","90.65K","0.16%"
"05/25/2026","4523.2","4532","4582.6","4531.3","21.56K","0%"
"05/22/2026","4523.2","4544.2","4547","4488","106.23K","-0.28%"
"05/21/2026","4535.8","4548","4572.4","4519","24.83K","1.30%"
"05/20/2026","4477.5","4486.6","4512","4455","30.04K","-1.67%"
"05/19/2026","4553.5","4570.6","4593.2","4533.9","27.45K","0.19%"
"05/18/2026","4544.9","4547.6","4559","4483.5","36.48K","-0.37%"
"05/15/2026","4561.9","4654.5","4670.1","4513.8","161.09K","-3.07%"
"05/14/2026","4706.6","4696.8","4719.7","4673.2","20.93K","0%"
"05/13/2026","4706.5","4722.3","4734.8","4696","22.70K","-0.39%"
"05/12/2026","4724.7","4745.3","4783.4","4717.5","30.99K","0.93%"
"05/11/2026","4681.1","4690","4714.1","4675.9","27.10K","-1.05%"
"05/08/2026","4730.7","4682.5","4760.4","4671","114.84K","0.41%"
"05/07/2026","4711.4","4702.2","4730.5","4694","19.61K","1.14%"
"05/06/2026","4658.3","4569.3","4667.5","4556.1","31.57K","2.42%"
"05/05/2026","4548.2","4534","4556.4","4522.7","13.51K","-1.56%"
"05/04/2026","4620.3","4644","4650.6","4602","14.02K","-0.52%"
"05/01/2026","4644.5","4636.9","4673","4570","91.62K","1.57%"
"04/30/2026","4572.9","4557","4594.1","4550.8","18.52K","-0.90%"
"04/29/2026","4614.6","4611.4","4624.3","4589.1","16.66K","-0.97%"
"04/28/2026","4660","4697.5","4716.5","4656.6","20.46K","-1.76%"
"04/27/2026","4743.3","4713.1","4744.8","4686.6","19.44K","0.05%"
"04/24/2026","4740.9","4715.6","4757.1","4672.2","100.81K","0.36%"
"04/23/2026","4723.7","4759.2","4771.3","4710.4","31.80K","-1.02%"
"04/22/2026","4772.5","4738.7","4782.7","4733.1","22.80K","-0.67%"
"04/21/2026","4804.5","4842.4","4854.8","4804.3","21.02K","-0.04%"
"04/20/2026","4806.6","4793.9","4811","4770","1.90K","-1.50%"
"04/17/2026","4879.6","4811.8","4917.7","4785.9","130.22K","1.37%"
"04/16/2026","4813.8","4813.6","4861.3","4792.1","94.25K","0.29%"
"04/15/2026","4800","4843.6","4843.6","4798","288","0.18%"
"04/14/2026","4791.2","4769.3","4802.8","4767.6","18.81K","0.98%"
"04/13/2026","4744.6","4710","4762.5","4626","53.88K","-0.91%"
"04/10/2026","4788","4790.5","4820","4752.7","113.32K","-0.09%"
"04/09/2026","4792.2","4711","4799.1","4711","405","0.90%"
"04/08/2026","4749.5","4760","4851","4738.8","405","1.98%"
"04/07/2026","4657.1","4624.9","4676.3","4608","327","0.01%"
"04/06/2026","4656.8","4656.1","4689.6","4605","148","0.11%"
"04/02/2026","4651.5","4764.9","4784.4","4558.9","","-2.75%"
"04/01/2026","4783.2","4668.4","4789.1","4668","1.64K","2.92%"
"03/31/2026","4647.6","4510","4684.1","4508.6","4.26K","2.69%"
"03/30/2026","4526","4482.8","4579.1","4413.4","10.82K","0.76%"
"03/27/2026","4492","4492","4492","4492","74.35K","2.66%"
"03/26/2026","4375.5","4441.5","4443.1","4375.5","1.07K","-3.83%"
"03/25/2026","4549.8","4549","4551.9","4541.8","388","3.42%"
"03/24/2026","4399.3","4338.7","4399.3","4325.2","378","-0.11%"
"03/23/2026","4404.1","4353","4480.4","4100.8","544","-3.64%"
"03/20/2026","4570.4","4686.9","4686.9","4570.4","235","-0.66%"
"03/19/2026","4600.7","4830.3","4830.3","4554","627","-5.91%"
"03/18/2026","4889.9","4949.6","4949.6","4821.7","1.46K","-2.22%"
"03/17/2026","5001","5017.6","5017.6","4994.2","239","0.14%"
"03/16/2026","4994","5001.6","5010.6","4994","130","-1.16%"
"03/13/2026","5052.5","5089.6","5117","5009.5","479","-1.24%"
"03/12/2026","5115.8","5137.2","5137.2","5115.8","410","-1%"
"03/11/2026","5167.4","5190.8","5191.3","5167.4","633","-1.19%"
"03/10/2026","5229.7","5138.2","5229.7","5137.6","4.30K","2.71%"
"03/09/2026","5091.5","5155","5160.6","5077.7","639","-1.06%"
"03/06/2026","5146.1","5121","5146.1","5076.1","148","1.60%"
