date,sentiment_score,sentiment_label,confidence,article_count,created_at
2026-05-10,0.1558,Bullish,high,50,2026-05-10T05:49:10.800175
2026-05-09,0.155,Bullish,high,50,2026-05-09T05:34:18.732284
2026-05-08,0.169,Bullish,high,50,2026-05-08T05:15:51.557451
2026-05-07,0.1769,Bullish,high,50,2026-05-07T05:45:26.165845
2026-05-06,0.1758,Bullish,high,50,2026-05-06T05:42:35.188375
2026-05-05,0.1778,Bullish,high,50,2026-05-05T05:27:08.717836
2026-05-04,0.1858,Bullish,high,50,2026-05-04T04:36:16.217616
2026-05-03,0.1919,Bullish,high,50,2026-05-03T05:43:08.052641
2026-05-02,0.1907,Bullish,high,50,2026-05-02T05:23:02.098112
2026-05-01,0.1935,Bullish,high,50,2026-05-01T05:53:25.918944
2026-04-30,0.1756,Bullish,high,50,2026-04-30T05:44:06.147290
2026-04-29,0.1733,Bullish,high,50,2026-04-29T05:39:32.981347
2026-04-28,0.1732,Bullish,high,50,2026-04-28T05:44:12.390906
2026-04-27,0.1754,Bullish,high,50,2026-04-27T04:26:04.203217
2026-04-26,0.1778,Bullish,high,50,2026-04-26T05:24:18.812300
2026-04-25,0.1765,Bullish,high,50,2026-04-25T04:59:46.056204
2026-04-24,0.1763,Bullish,high,50,2026-04-24T05:21:18.902407
2026-04-23,0.1691,Bullish,high,50,2026-04-23T05:15:26.590712
2026-04-22,0.1777,Bullish,high,50,2026-04-22T05:11:52.906452
2026-04-21,0.1929,Bullish,high,50,2026-04-21T05:13:46.621343
2026-04-20,0.1514,Bullish,high,24,2026-04-20T04:30:27.124793
2026-04-19,0.1925,Bullish,high,50,2026-04-19T08:32:53.042923
2026-04-16,0.2578,Bullish,high,28,2026-04-16T17:06:31.839642
2026-04-14,0.0537,Bullish,high,27,2026-04-14T06:18:24.058255
2026-04-13,0.1064,Bullish,high,28,2026-04-13T11:16:24.368506
2026-04-10,0.055,Bullish,high,29,2026-04-10T19:43:01.507372
2026-03-29,0.0539,Bullish,high,29,2026-03-29T07:47:27.887666
2026-03-10,0.1202,Bullish,high,25,2026-03-10T11:09:00.874873
