"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2014","63.035","63.315","63.390","63.035","","-0.55%"
"30-12-2014","63.385","63.725","63.795","63.355","","-0.45%"
"29-12-2014","63.670","63.665","63.715","63.625","","0.17%"
"26-12-2014","63.562","63.455","63.690","63.455","","0.07%"
"25-12-2014","63.520","63.520","63.520","63.520","","0.00%"
"24-12-2014","63.520","63.435","63.565","63.375","","0.13%"
"23-12-2014","63.440","63.310","63.510","63.250","","0.33%"
"22-12-2014","63.230","63.255","63.330","63.145","","-0.02%"
"19-12-2014","63.245","63.055","63.340","62.990","","0.40%"
"18-12-2014","62.990","63.360","63.400","62.985","","-0.84%"
"17-12-2014","63.525","63.530","63.890","63.450","","-0.21%"
"16-12-2014","63.660","62.915","63.660","62.815","","0.77%"
"15-12-2014","63.175","62.210","63.175","62.210","","1.04%"
"12-12-2014","62.525","62.260","62.535","62.210","","0.07%"
"11-12-2014","62.480","62.050","62.480","62.010","","0.59%"
"10-12-2014","62.115","61.810","62.115","61.770","","0.38%"
"09-12-2014","61.880","61.890","61.955","61.835","","0.09%"
"08-12-2014","61.825","61.980","62.010","61.825","","-0.15%"
"05-12-2014","61.918","61.845","61.918","61.780","","0.21%"
"04-12-2014","61.790","61.945","61.965","61.790","","-0.12%"
"03-12-2014","61.863","61.885","61.970","61.815","","0.11%"
"02-12-2014","61.795","61.905","62.020","61.795","","-0.26%"
"01-12-2014","61.955","62.060","62.240","61.955","","-0.41%"
"28-11-2014","62.210","61.815","62.250","61.765","","0.57%"
"27-11-2014","61.860","61.740","61.938","61.740","","0.11%"
"26-11-2014","61.795","61.865","61.913","61.785","","-0.11%"
"25-11-2014","61.865","61.915","62.045","61.850","","0.01%"
"24-11-2014","61.860","61.700","61.975","61.660","","0.15%"
"21-11-2014","61.767","61.845","61.905","61.745","","-0.26%"
"20-11-2014","61.930","62.040","62.230","61.890","","-0.02%"
"19-11-2014","61.945","61.845","62.008","61.795","","0.36%"
"18-11-2014","61.725","61.735","61.885","61.705","","-0.17%"
"17-11-2014","61.830","61.630","61.830","61.630","","0.19%"
"14-11-2014","61.715","61.630","61.860","61.560","","0.19%"
"13-11-2014","61.600","61.490","61.635","61.490","","0.37%"
"12-11-2014","61.375","61.535","61.570","61.375","","-0.23%"
"11-11-2014","61.515","61.570","61.650","61.515","","0.05%"
"10-11-2014","61.485","61.465","61.570","61.390","","-0.06%"
"07-11-2014","61.520","61.440","61.700","61.440","","0.03%"
"06-11-2014","61.500","61.440","61.515","61.425","","0.11%"
"05-11-2014","61.435","61.340","61.545","61.300","","0.07%"
"04-11-2014","61.395","61.365","61.415","61.310","","-0.04%"
"03-11-2014","61.420","61.510","61.510","61.325","","0.02%"
"31-10-2014","61.405","61.365","61.615","61.300","","-0.06%"
"30-10-2014","61.440","61.290","61.555","61.290","","0.24%"
"29-10-2014","61.290","61.265","61.375","61.220","","0.17%"
"28-10-2014","61.188","61.255","61.425","61.162","","-0.19%"
"27-10-2014","61.305","61.185","61.375","61.185","","0.22%"
"24-10-2014","61.170","61.170","61.170","61.170","","0.00%"
"23-10-2014","61.170","61.160","61.210","61.100","","-0.05%"
"22-10-2014","61.200","61.095","61.315","61.015","","0.08%"
"21-10-2014","61.150","61.315","61.377","61.120","","-0.14%"
"20-10-2014","61.235","61.315","61.385","61.185","","-0.21%"
"17-10-2014","61.365","61.765","61.765","61.360","","-0.77%"
"16-10-2014","61.840","61.485","61.940","61.435","","0.75%"
"15-10-2014","61.380","61.310","61.410","61.250","","-0.03%"
"14-10-2014","61.400","60.945","61.480","60.935","","0.64%"
"13-10-2014","61.010","61.285","61.315","61.010","","-0.45%"
"10-10-2014","61.285","61.165","61.365","61.125","","0.38%"
"09-10-2014","61.055","61.145","61.145","60.910","","-0.50%"
"08-10-2014","61.360","61.470","61.525","61.310","","0.09%"
"07-10-2014","61.305","61.465","61.485","61.280","","-0.39%"
"06-10-2014","61.545","61.545","61.545","61.545","","0.00%"
"03-10-2014","61.545","61.545","61.545","61.545","","0.00%"
"02-10-2014","61.545","61.720","61.720","61.545","","-0.29%"
"01-10-2014","61.725","61.835","61.965","61.593","","-0.35%"
"30-09-2014","61.940","61.615","61.940","61.565","","0.62%"
"29-09-2014","61.560","61.155","61.620","61.155","","0.68%"
"26-09-2014","61.145","61.345","61.625","61.015","","-0.31%"
"25-09-2014","61.335","60.965","61.420","60.925","","0.64%"
"24-09-2014","60.945","61.045","61.065","60.905","","-0.18%"
"23-09-2014","61.055","60.955","61.055","60.875","","0.18%"
"22-09-2014","60.945","60.795","60.945","60.755","","0.14%"
"19-09-2014","60.860","60.780","60.900","60.730","","0.20%"
"18-09-2014","60.740","61.115","61.220","60.740","","-0.29%"
"17-09-2014","60.915","60.985","61.043","60.830","","-0.24%"
"16-09-2014","61.060","61.025","61.165","61.007","","-0.07%"
"15-09-2014","61.105","60.655","61.175","60.655","","0.74%"
"12-09-2014","60.655","60.975","61.025","60.645","","-0.45%"
"11-09-2014","60.930","60.845","60.945","60.720","","0.00%"
"10-09-2014","60.930","60.780","61.045","60.760","","0.54%"
"09-09-2014","60.605","60.435","60.673","60.405","","0.55%"
"08-09-2014","60.275","60.305","60.325","60.212","","-0.20%"
"05-09-2014","60.395","60.445","60.505","60.380","","0.06%"
"04-09-2014","60.360","60.465","60.490","60.355","","-0.21%"
"03-09-2014","60.490","60.605","60.695","60.335","","-0.32%"
"02-09-2014","60.685","60.585","60.695","60.495","","0.26%"
"01-09-2014","60.530","60.510","60.535","60.425","","0.02%"
"29-08-2014","60.520","60.510","60.550","60.470","","0.03%"
"28-08-2014","60.500","60.405","60.698","60.365","","0.07%"
"27-08-2014","60.455","60.485","60.515","60.350","","0.03%"
"26-08-2014","60.435","60.505","60.580","60.435","","-0.22%"
"25-08-2014","60.570","60.555","60.580","60.405","","0.17%"
"22-08-2014","60.470","60.495","60.560","60.365","","-0.34%"
"21-08-2014","60.675","60.695","60.800","60.615","","0.10%"
"20-08-2014","60.615","60.845","60.885","60.520","","-0.10%"
"19-08-2014","60.675","60.775","60.785","60.645","","-0.17%"
"18-08-2014","60.780","60.780","60.780","60.780","","0.00%"
"15-08-2014","60.780","60.820","60.850","60.780","","0.02%"
"14-08-2014","60.765","61.105","61.120","60.765","","-0.54%"
"13-08-2014","61.095","61.095","61.315","61.095","","0.02%"
"12-08-2014","61.085","61.125","61.225","61.075","","-0.15%"
"11-08-2014","61.175","61.085","61.265","61.025","","0.05%"
"08-08-2014","61.145","61.245","61.745","61.135","","-0.16%"
"07-08-2014","61.245","61.405","61.555","61.215","","-0.41%"
"06-08-2014","61.500","61.035","61.525","61.025","","1.07%"
"05-08-2014","60.850","60.885","61.005","60.695","","-0.16%"
"04-08-2014","60.945","61.205","61.205","60.875","","-0.44%"
"01-08-2014","61.215","60.755","61.225","60.700","","1.09%"
"31-07-2014","60.555","60.245","60.565","60.205","","0.82%"
"30-07-2014","60.065","60.245","60.245","60.052","","-0.11%"
"29-07-2014","60.130","60.125","60.140","60.100","","0.07%"
"28-07-2014","60.090","60.055","60.170","60.055","","0.05%"
"25-07-2014","60.060","60.055","60.195","60.010","","-0.11%"
"24-07-2014","60.125","59.965","60.165","59.935","","0.17%"
"23-07-2014","60.020","60.145","60.210","59.960","","-0.14%"
"22-07-2014","60.105","60.265","60.305","60.100","","-0.23%"
"21-07-2014","60.245","60.285","60.340","60.165","","-0.07%"
"18-07-2014","60.285","60.385","60.455","60.245","","0.17%"
"17-07-2014","60.185","60.025","60.200","60.025","","0.10%"
"16-07-2014","60.125","60.235","60.275","60.090","","0.00%"
"15-07-2014","60.125","60.045","60.250","60.005","","0.00%"
"14-07-2014","60.125","59.970","60.215","59.915","","0.05%"
"11-07-2014","60.095","60.115","60.315","59.925","","-0.17%"
"10-07-2014","60.195","59.685","60.225","59.575","","0.72%"
"09-07-2014","59.765","59.755","59.950","59.685","","0.02%"
"08-07-2014","59.755","59.955","60.005","59.665","","-0.33%"
"07-07-2014","59.955","59.815","60.060","59.735","","0.39%"
"04-07-2014","59.725","59.745","59.830","59.645","","-0.03%"
"03-07-2014","59.740","59.675","59.850","59.530","","0.08%"
"02-07-2014","59.692","60.035","60.095","59.590","","-0.61%"
"01-07-2014","60.060","60.085","60.200","60.060","","0.00%"
"30-06-2014","60.060","60.045","60.280","60.005","","0.02%"
"27-06-2014","60.045","60.210","60.210","60.045","","-0.27%"
"26-06-2014","60.210","60.035","60.260","60.035","","0.21%"
"25-06-2014","60.085","60.255","60.400","60.085","","-0.12%"
"24-06-2014","60.160","60.090","60.175","60.080","","0.00%"
"23-06-2014","60.160","60.065","60.305","60.015","","-0.02%"
"20-06-2014","60.175","60.235","60.345","60.135","","0.13%"
"19-06-2014","60.095","60.225","60.225","59.855","","-0.34%"
"18-06-2014","60.300","60.215","60.545","60.065","","-0.05%"
"17-06-2014","60.330","60.115","60.525","60.035","","0.24%"
"16-06-2014","60.185","59.715","60.240","59.715","","0.80%"
"13-06-2014","59.710","59.310","59.810","59.300","","0.70%"
"12-06-2014","59.295","59.235","59.375","59.100","","-0.08%"
"11-06-2014","59.340","59.330","59.370","59.230","","0.21%"
"10-06-2014","59.215","59.135","59.350","59.135","","0.02%"
"09-06-2014","59.205","59.105","59.210","58.975","","0.05%"
"06-06-2014","59.175","59.165","59.315","59.105","","-0.14%"
"05-06-2014","59.260","59.280","59.370","59.195","","-0.03%"
"04-06-2014","59.280","59.435","59.465","59.215","","-0.10%"
"03-06-2014","59.340","59.080","59.432","59.080","","0.31%"
"02-06-2014","59.155","59.105","59.275","59.065","","-0.07%"
"30-05-2014","59.195","59.045","59.195","58.940","","0.47%"
"29-05-2014","58.920","58.935","59.085","58.795","","-0.04%"
"28-05-2014","58.945","58.955","59.220","58.815","","-0.17%"
"27-05-2014","59.045","58.715","59.097","58.655","","0.56%"
"26-05-2014","58.715","58.445","58.925","58.410","","0.32%"
"23-05-2014","58.525","58.465","58.555","58.330","","0.41%"
"22-05-2014","58.285","58.615","58.700","58.265","","-0.70%"
"21-05-2014","58.695","58.705","58.875","58.635","","0.18%"
"20-05-2014","58.590","58.595","58.825","58.525","","0.37%"
"19-05-2014","58.375","58.565","58.615","58.375","","-0.36%"
"16-05-2014","58.585","59.365","59.365","58.585","","-1.48%"
